Job ID,Job URL,Job Title,Company Name,Status,Timestamp,WP ID
4878d7103beb007d,https://themimu.info/sites/themimu.info/files/jobs/P033_CARE_Admin_and_Finance_Officer_Yangon_28_June_2026.pdf,Admin and Finance Officer,CARE,failed|wp_post_failed,2026-06-17T11:09:53.665683,
b8c18ec0fd4d95a5,https://themimu.info/sites/themimu.info/files/jobs/202606_COO_JVA_HR_Officer.pdf,HR Officer,Solidarites International,failed|wp_post_failed,2026-06-17T11:09:58.722605,
e2271f88029f5392,https://themimu.info/sites/themimu.info/files/jobs/NSS-VA-DRC-ProtectionAssistant-15June2026.pdf,Protection Assistant - Response,DRC,failed|wp_post_failed,2026-06-17T11:10:02.201266,
ce5fe1a8a69fa036,https://themimu.info/sites/themimu.info/files/jobs/ADRA_Myanmar_Job_Re-dvertisement_Civil_Engineering_Specialist_Deadline_30th_June_2026.pdf,Civil Engineering Specialist,ADRA Myanmar,failed|wp_post_failed,2026-06-17T11:10:07.750263,
5c21c533e970fbfb,https://themimu.info/sites/themimu.info/files/jobs/TOR_-_Training_Coordinator_Building_Resilience_Project.pdf,Consultant-Training Coordinator for Building Resilience Project,CAM,failed|wp_post_failed,2026-06-17T11:10:11.354013,
895f059f2c9e3aa0,https://themimu.info/sites/themimu.info/files/jobs/Call_for_Consultancy_Junior_Consultant.pdf,Individual Consultant - Data Analytics Support,UNESCO,failed|wp_post_failed,2026-06-17T11:10:15.003190,
a995cbe5d8e08ba6,https://themimu.info/sites/themimu.info/files/jobs/Demand_GeneratorMagway-_Jun_26.pdf,Demand Generator (Magway),DKT Myanmar,failed|wp_post_failed,2026-06-17T11:10:19.903969,
0b479ab9ada9baa5,https://themimu.info/sites/themimu.info/files/jobs/Demand_GeneratorMon-_Jun_26.pdf,Demand Generator,DKT Myanmar,failed|wp_post_failed,2026-06-17T11:10:22.541757,
99d48f7b0465e874,https://themimu.info/sites/themimu.info/files/jobs/Demand_GeneratorMandalay-_Jun_26.pdf,Demand Generator,DKT Myanmar,failed|wp_post_failed,2026-06-17T11:10:24.890280,
68b6e651dd4c1564,https://themimu.info/sites/themimu.info/files/jobs/JR50575_Field_Officer_Mandalay_22062026.pdf,Field Officer (Pool PNS Project),WVIM,failed|wp_post_failed,2026-06-17T11:10:29.288084,
209a347fc3126edd,https://themimu.info/sites/themimu.info/files/jobs/AFA_JD_TB_HIV_Prevention_Project_Revised_0.pdf,Admin and Finance Assistant,MTSTM,failed|wp_post_failed,2026-06-17T11:10:33.979615,
0675b21266dafd8b,https://themimu.info/sites/themimu.info/files/jobs/NSS-VA-DRC-ProtectionOfficer-15June2026.pdf,Protection Officer- Prevention,DRC,failed|wp_post_failed,2026-06-17T11:10:36.535031,
2f5bca05fe0d0ad9,https://themimu.info/sites/themimu.info/files/jobs/RFP_010_26_GEDSI_Consultant_-_WAVE.pdf,GEDSI Consultant,Mercy Corps,failed|wp_post_failed,2026-06-17T11:10:41.557656,
aaf09e544825669c,https://themimu.info/sites/themimu.info/files/jobs/JOB_ANNOUNCEMENT_FOR_HR_AND_ADMIN_COORDINATOR.pdf,HR & Admin Coordinator,KKEC,failed|wp_post_failed,2026-06-17T11:10:46.486666,
28cc442f4534cdf0,https://themimu.info/sites/themimu.info/files/jobs/Finance_Manager_for_Multi-Sectors.pdf,Finance Manager,****,failed|wp_post_failed,2026-06-17T11:10:50.263622,
83e6deb9c80014fd,https://themimu.info/sites/themimu.info/files/jobs/WHH_VA_WASH_Expert_Meiktila.pdf,WASH Expert,WHH,failed|wp_post_failed,2026-06-17T11:10:55.009321,
948d31c4da3566f5,https://themimu.info/sites/themimu.info/files/jobs/ADRA_Myanmar_Job_Vacancy_Announcement_Health_Nutrition_Specialist_Yangon_Deadline_25th_June_2026.pdf,Health and Nutrition Specialist,ADRA Myanmar,failed|wp_post_failed,2026-06-17T11:10:57.563424,
